20.592328,-100.413836
20.592466,-100.414035
20.592864,-100.414147
20.593190,-100.414239
20.593515,-100.414336
20.593836,-100.414438
20.594269,-100.414556
20.594553,-100.414624
20.595035,-100.414760
20.595405,-100.414854
20.595797,-100.414976
20.596201,-100.415114
20.596560,-100.415207
20.596982,-100.415324
20.597472,-100.415455
20.597979,-100.415605
20.598338,-100.415688
20.598916,-100.415854
20.599322,-100.415946
20.599940,-100.416161
20.600767,-100.416387
20.601418,-100.416565
20.602265,-100.416846
20.603179,-100.417070
20.603689,-100.417215
20.605997,-100.417900
20.607966,-100.418426
20.610321,-100.419047
20.611939,-100.419533
20.613121,-100.419906
20.614827,-100.420365
20.616312,-100.420809
20.617798,-100.421242
20.618950,-100.421525    linea 34
20.619644,-100.421706
20.620305,-100.421544
20.620764,-100.421376
20.621355,-100.420832
20.621490,-100.420017
20.621425,-100.419394
20.621396,-100.418528
20.621204,-100.417428
20.621059,-100.416348
20.620936,-100.415644
20.620646,-100.413637
20.620104,-100.412959
20.619660,-100.411530
20.619313,-100.410440
20.619014,-100.409588
20.618658,-100.408309
20.618155,-100.407116
20.617801,-100.406015
20.617492,-100.404989
20.617117,-100.403821
20.416764,-100.401328
20.616530,-100.397989
20.616383,-100.394568
20.616295,-100.392884
20.615677,-100.388608
20.614305,-100.386584    linea 60
20.613328,-100.385314
20.611853,-100.383510
20.610684,-100.381907
20.609532,-100.381363
20.609966,-100.381575
20.610521,-100.380592
20.611336,-100.379262
20.611857,-100.378841   linea 68
20.612555,-100.379096
20.612996,-100.379481
20.613503,-100.359911
20.613986,-100.380223
20.614703,-100.380431
20.615697,-100.380607
20.616491,-100.381012
20.617407,-100.382228
20.618153,-100.382534
20.619959,-100.383132
20.620983,-100.384571
20.621939,-100.385922
20.623812,-100.384571
20.624024,-100.383007
20.624172,-100.381133
20.624652,-100.377834
20.624923,-100.375785
20.625101,-100.374664
20.625132,-100.373438
20.625257,-100.371707      linea 88
20.625299,-100.370771
20.624283,-100.370231
20.623520,-100.369459      linea 89
20.624139,-100.365835

